label,4_u1_100_p
time_s,envelope_detrended
0.000000000,-0.249331
0.000113379,-0.253220
0.000226757,-0.257106
0.000340136,-0.260989
0.000453515,-0.264867
0.000566893,-0.268740
0.000680272,-0.272607
0.000793651,-0.276468
0.000907029,-0.280321
0.001020408,-0.284167
0.001133787,-0.288004
0.001247166,-0.291832
0.001360544,-0.295650
0.001473923,-0.299457
0.001587302,-0.303253
0.001700680,-0.307037
0.001814059,-0.310809
0.001927438,-0.314569
0.002040816,-0.318314
0.002154195,-0.322046
0.002267574,-0.325762
0.002380952,-0.329464
0.002494331,-0.333150
0.002607710,-0.336820
0.002721088,-0.340473
0.002834467,-0.344109
0.002947846,-0.347728
0.003061224,-0.351328
0.003174603,-0.354910
0.003287982,-0.358472
0.003401361,-0.362016
0.003514739,-0.365539
0.003628118,-0.369043
0.003741497,-0.372525
0.003854875,-0.375987
0.003968254,-0.379427
0.004081633,-0.382846
0.004195011,-0.386243
0.004308390,-0.389617
0.004421769,-0.392968
0.004535147,-0.396296
0.004648526,-0.399601
0.004761905,-0.402882
0.004875283,-0.406139
0.004988662,-0.409372
0.005102041,-0.412580
0.005215420,-0.415763
0.005328798,-0.418922
0.005442177,-0.422055
0.005555556,-0.425162
0.005668934,-0.428244
0.005782313,-0.431299
0.005895692,-0.434329
0.006009070,-0.437332
0.006122449,-0.440308
0.006235828,-0.443257
0.006349206,-0.446180
0.006462585,-0.449075
0.006575964,-0.451944
0.006689342,-0.454784
0.006802721,-0.457597
0.006916100,-0.460383
0.007029478,-0.463140
0.007142857,-0.465870
0.007256236,-0.468571
0.007369615,-0.471245
0.007482993,-0.473890
0.007596372,-0.476506
0.007709751,-0.479094
0.007823129,-0.481654
0.007936508,-0.484184
0.008049887,-0.486687
0.008163265,-0.489160
0.008276644,-0.491604
0.008390023,-0.494020
0.008503401,-0.496407
0.008616780,-0.498764
0.008730159,-0.501093
0.008843537,-0.503392
0.008956916,-0.505663
0.009070295,-0.507904
0.009183673,-0.510117
0.009297052,-0.512300
0.009410431,-0.514454
0.009523810,-0.516579
0.009637188,-0.518675
0.009750567,-0.520742
0.009863946,-0.522780
0.009977324,-0.524789
0.010090703,-0.526769
0.010204082,-0.528720
0.010317460,-0.530642
0.010430839,-0.532535
0.010544218,-0.534400
0.010657596,-0.536235
0.010770975,-0.538042
0.010884354,-0.539821
0.010997732,-0.541571
0.011111111,-0.543293
0.011224490,-0.544986
0.011337868,-0.546651
0.011451247,-0.548287
